x,y,z,P
0.0,0.0,300.0,7.215510610128397e-09
0.0,0.0,259.8076211353316,7.215510610128397e-09
0.0,0.0,150.00000000000003,7.215510610128397e-09
0.0,0.0,1.8369701987210297e-14,7.215510610128397e-09
-0.0,0.0,-149.99999999999994,7.215510610128397e-09
-0.0,0.0,-259.80762113533154,7.215510610128397e-09
-0.0,0.0,-300.0,7.215510610128397e-09
-0.0,-0.0,-259.80762113533166,7.215510610128397e-09
-0.0,-0.0,-150.00000000000014,7.215510610128397e-09
-0.0,-0.0,-5.510910596163089e-14,7.215510610128397e-09
0.0,-0.0,149.9999999999998,7.215510610128397e-09
0.0,-0.0,259.8076211353315,7.215510610128397e-09
0.0,0.0,360.0,7.024299677643783e-09
0.0,0.0,311.7691453623979,7.024299677643783e-09
0.0,0.0,180.00000000000003,7.024299677643783e-09
0.0,0.0,2.2043642384652358e-14,7.024299677643783e-09
-0.0,0.0,-179.99999999999991,7.024299677643783e-09
-0.0,0.0,-311.76914536239786,7.024299677643783e-09
-0.0,0.0,-360.0,7.024299677643783e-09
-0.0,-0.0,-311.769145362398,7.024299677643783e-09
-0.0,-0.0,-180.00000000000017,7.024299677643783e-09
-0.0,-0.0,-6.613092715395707e-14,7.024299677643783e-09
0.0,-0.0,179.99999999999977,7.024299677643783e-09
0.0,-0.0,311.7691453623978,7.024299677643783e-09
0.0,0.0,240.0,6.295294328975569e-09
0.0,0.0,207.84609690826528,6.295294328975569e-09
0.0,0.0,120.00000000000003,6.295294328975569e-09
0.0,0.0,1.469576158976824e-14,6.295294328975569e-09
-0.0,0.0,-119.99999999999994,6.295294328975569e-09
-0.0,0.0,-207.84609690826522,6.295294328975569e-09
-0.0,0.0,-240.0,6.295294328975569e-09
-0.0,-0.0,-207.8460969082653,6.295294328975569e-09
-0.0,-0.0,-120.00000000000011,6.295294328975569e-09
-0.0,-0.0,-4.408728476930471e-14,6.295294328975569e-09
0.0,-0.0,119.99999999999984,6.295294328975569e-09
0.0,-0.0,207.84609690826522,6.295294328975569e-09
0.0,0.0,420.0,6.109436678251158e-09
0.0,0.0,363.73066958946424,6.109436678251158e-09
0.0,0.0,210.00000000000006,6.109436678251158e-09
0.0,0.0,2.5717582782094416e-14,6.109436678251158e-09
-0.0,0.0,-209.99999999999991,6.109436678251158e-09
-0.0,0.0,-363.7306695894642,6.109436678251158e-09
-0.0,0.0,-420.0,6.109436678251158e-09
-0.0,-0.0,-363.7306695894643,6.109436678251158e-09
-0.0,-0.0,-210.0000000000002,6.109436678251158e-09
-0.0,-0.0,-7.715274834628324e-14,6.109436678251158e-09
0.0,-0.0,209.99999999999972,6.109436678251158e-09
0.0,-0.0,363.7306695894641,6.109436678251158e-09
0.0,0.0,480.0,4.8930531536419e-09
0.0,0.0,415.69219381653056,4.8930531536419e-09
0.0,0.0,240.00000000000006,4.8930531536419e-09
0.0,0.0,2.939152317953648e-14,4.8930531536419e-09
-0.0,0.0,-239.9999999999999,4.8930531536419e-09
-0.0,0.0,-415.69219381653045,4.8930531536419e-09
-0.0,0.0,-480.0,4.8930531536419e-09
-0.0,-0.0,-415.6921938165306,4.8930531536419e-09
-0.0,-0.0,-240.00000000000023,4.8930531536419e-09
-0.0,-0.0,-8.817456953860942e-14,4.8930531536419e-09
0.0,-0.0,239.9999999999997,4.8930531536419e-09
0.0,-0.0,415.69219381653045,4.8930531536419e-09
77.64571353075623,0.0,300.0,4.666123624941703e-09
67.24316041260401,38.822856765378106,259.8076211353316,4.666123624941703e-09
38.82285676537812,67.24316041260401,150.00000000000003,4.666123624941703e-09
4.7544287271476474e-15,77.64571353075623,1.8369701987210297e-14,4.666123624941703e-09
-38.8228567653781,67.24316041260401,-149.99999999999994,4.666123624941703e-09
-67.243160412604,38.82285676537814,-259.80762113533154,4.666123624941703e-09
-77.64571353075623,9.508857454295293e-15,-300.0,4.666123624941703e-09
-67.24316041260403,-38.82285676537809,-259.80762113533166,4.666123624941703e-09
-38.82285676537815,-67.243160412604,-150.00000000000014,4.666123624941703e-09
-1.426328618144294e-14,-77.64571353075623,-5.510910596163089e-14,4.666123624941703e-09
38.82285676537806,-67.24316041260404,149.9999999999998,4.666123624941703e-09
67.24316041260398,-38.82285676537815,259.8076211353315,4.666123624941703e-09
77.64571353075631,0.0,300.0,4.666123624941697e-09
67.24316041260408,38.82285676537815,259.8076211353316,4.666123624941697e-09
38.82285676537816,67.24316041260408,150.00000000000003,4.666123624941697e-09
4.754428727147652e-15,77.64571353075631,1.8369701987210297e-14,4.666123624941697e-09
-38.82285676537814,67.24316041260408,-149.99999999999994,4.666123624941697e-09
-67.24316041260407,38.822856765378184,-259.80762113533154,4.666123624941697e-09
-77.64571353075631,9.508857454295304e-15,-300.0,4.666123624941697e-09
-67.2431604126041,-38.822856765378134,-259.80762113533166,4.666123624941697e-09
-38.82285676537819,-67.24316041260407,-150.00000000000014,4.666123624941697e-09
-1.4263286181442955e-14,-77.64571353075631,-5.510910596163089e-14,4.666123624941697e-09
38.822856765378106,-67.24316041260411,149.9999999999998,4.666123624941697e-09
67.24316041260407,-38.82285676537819,259.8076211353315,4.666123624941697e-09
93.17485623690746,0.0,360.0,4.5424714126975425e-09
80.69179249512482,46.58742811845372,311.7691453623979,4.5424714126975425e-09
46.58742811845374,80.69179249512482,180.00000000000003,4.5424714126975425e-09
5.705314472577176e-15,93.17485623690746,2.2043642384652358e-14,4.5424714126975425e-09
-46.58742811845371,80.69179249512482,-179.99999999999991,4.5424714126975425e-09
-80.69179249512479,46.587428118453765,-311.76914536239786,4.5424714126975425e-09
-93.17485623690746,1.1410628945154353e-14,-360.0,4.5424714126975425e-09
-80.69179249512482,-46.5874281184537,-311.769145362398,4.5424714126975425e-09
-46.58742811845377,-80.6917924951248,-180.00000000000017,4.5424714126975425e-09
-1.7115943417731528e-14,-93.17485623690746,-6.613092715395707e-14,4.5424714126975425e-09
46.587428118453666,-80.69179249512484,179.99999999999977,4.5424714126975425e-09
80.69179249512477,-46.58742811845378,311.7691453623978,4.5424714126975425e-09
93.17485623690757,0.0,360.0,4.542471412697537e-09
80.69179249512491,46.58742811845377,311.7691453623979,4.542471412697537e-09
46.58742811845379,80.6917924951249,180.00000000000003,4.542471412697537e-09
5.705314472577183e-15,93.17485623690757,2.2043642384652358e-14,4.542471412697537e-09
-46.587428118453765,80.6917924951249,-179.99999999999991,4.542471412697537e-09
-80.69179249512489,46.587428118453815,-311.76914536239786,4.542471412697537e-09
-93.17485623690757,1.1410628945154366e-14,-360.0,4.542471412697537e-09
-80.69179249512491,-46.58742811845375,-311.769145362398,4.542471412697537e-09
-46.58742811845383,-80.69179249512489,-180.00000000000017,4.542471412697537e-09
-1.7115943417731547e-14,-93.17485623690757,-6.613092715395707e-14,4.542471412697537e-09
46.58742811845372,-80.69179249512493,179.99999999999977,4.542471412697537e-09
80.69179249512487,-46.58742811845383,311.7691453623978,4.542471412697537e-09
0.0,0.0,180.0,4.242776118350324e-09
0.0,0.0,155.88457268119896,4.242776118350324e-09
0.0,0.0,90.00000000000001,4.242776118350324e-09
0.0,0.0,1.1021821192326179e-14,4.242776118350324e-09
-0.0,0.0,-89.99999999999996,4.242776118350324e-09
-0.0,0.0,-155.88457268119893,4.242776118350324e-09
-0.0,0.0,-180.0,4.242776118350324e-09
-0.0,-0.0,-155.884572681199,4.242776118350324e-09
-0.0,-0.0,-90.00000000000009,4.242776118350324e-09
-0.0,-0.0,-3.3065463576978534e-14,4.242776118350324e-09
0.0,-0.0,89.99999999999989,4.242776118350324e-09
0.0,-0.0,155.8845726811989,4.242776118350324e-09
62.11657082460498,0.0,240.0,4.071038514330689e-09
53.79452833008321,31.058285412302485,207.84609690826528,4.071038514330689e-09
31.058285412302496,53.7945283300832,120.00000000000003,4.071038514330689e-09
3.8035429817181175e-15,62.11657082460498,1.469576158976824e-14,4.071038514330689e-09
-31.058285412302475,53.79452833008321,-119.99999999999994,4.071038514330689e-09
-53.794528330083196,31.05828541230251,-207.84609690826522,4.071038514330689e-09
-62.11657082460498,7.607085963436237e-15,-240.0,4.071038514330689e-09
-53.79452833008322,-31.05828541230247,-207.8460969082653,4.071038514330689e-09
-31.058285412302517,-53.794528330083196,-120.00000000000011,4.071038514330689e-09
-1.1410628945154352e-14,-62.11657082460498,-4.408728476930471e-14,4.071038514330689e-09
31.058285412302446,-53.79452833008323,119.99999999999984,4.071038514330689e-09
53.79452833008319,-31.058285412302517,207.84609690826522,4.071038514330689e-09
62.11657082460504,0.0,240.0,4.071038514330684e-09
