x,y,z,P
0.0,0.0,0.0,6.450663180408718e-06
0.0,0.0,0.0,6.450663180408718e-06
0.0,0.0,0.0,6.450663180408718e-06
0.0,0.0,0.0,6.450663180408718e-06
-0.0,0.0,-0.0,6.450663180408718e-06
-0.0,0.0,-0.0,6.450663180408718e-06
-0.0,0.0,-0.0,6.450663180408718e-06
-0.0,-0.0,-0.0,6.450663180408718e-06
-0.0,-0.0,-0.0,6.450663180408718e-06
-0.0,-0.0,-0.0,6.450663180408718e-06
0.0,-0.0,0.0,6.450663180408718e-06
0.0,-0.0,0.0,6.450663180408718e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,6.018550682949795e-06
-0.0,0.0,-0.0,6.018550682949795e-06
-0.0,0.0,-0.0,6.018550682949795e-06
-0.0,0.0,-0.0,6.018550682949795e-06
-0.0,0.0,-0.0,6.018550682949795e-06
-0.0,0.0,-0.0,6.018550682949795e-06
-0.0,0.0,-0.0,6.018550682949795e-06
-0.0,-0.0,-0.0,6.018550682949795e-06
-0.0,-0.0,-0.0,6.018550682949795e-06
-0.0,-0.0,-0.0,6.018550682949795e-06
-0.0,-0.0,-0.0,6.018550682949795e-06
-0.0,-0.0,-0.0,6.018550682949795e-06
-0.0,-0.0,-0.0,6.018550682949795e-06
0.0,-0.0,0.0,6.018550682949795e-06
0.0,-0.0,0.0,6.018550682949795e-06
0.0,-0.0,0.0,6.018550682949795e-06
0.0,-0.0,0.0,6.018550682949795e-06
0.0,0.0,0.0,4.837997385306541e-06
0.0,0.0,0.0,4.837997385306541e-06
0.0,0.0,0.0,4.837997385306541e-06
0.0,0.0,0.0,4.837997385306541e-06
-0.0,0.0,-0.0,4.837997385306541e-06
-0.0,0.0,-0.0,4.837997385306541e-06
-0.0,0.0,-0.0,4.837997385306541e-06
-0.0,-0.0,-0.0,4.837997385306541e-06
-0.0,-0.0,-0.0,4.837997385306541e-06
-0.0,-0.0,-0.0,4.837997385306541e-06
0.0,-0.0,0.0,4.837997385306541e-06
0.0,-0.0,0.0,4.837997385306541e-06
0.0,0.0,0.0,4.837997385306537e-06
0.0,0.0,0.0,4.837997385306537e-06
0.0,0.0,0.0,4.837997385306537e-06
0.0,0.0,0.0,4.837997385306537e-06
-0.0,0.0,-0.0,4.837997385306537e-06
-0.0,0.0,-0.0,4.837997385306537e-06
-0.0,0.0,-0.0,4.837997385306537e-06
-0.0,-0.0,-0.0,4.837997385306537e-06
-0.0,-0.0,-0.0,4.837997385306537e-06
-0.0,-0.0,-0.0,4.837997385306537e-06
0.0,-0.0,0.0,4.837997385306537e-06
0.0,-0.0,0.0,4.837997385306537e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,3.2253315902043584e-06
-0.0,0.0,-0.0,3.2253315902043584e-06
-0.0,0.0,-0.0,3.2253315902043584e-06
-0.0,0.0,-0.0,3.2253315902043584e-06
-0.0,0.0,-0.0,3.2253315902043584e-06
-0.0,0.0,-0.0,3.2253315902043584e-06
-0.0,0.0,-0.0,3.2253315902043584e-06
-0.0,-0.0,-0.0,3.2253315902043584e-06
-0.0,-0.0,-0.0,3.2253315902043584e-06
-0.0,-0.0,-0.0,3.2253315902043584e-06
-0.0,-0.0,-0.0,3.2253315902043584e-06
-0.0,-0.0,-0.0,3.2253315902043584e-06
-0.0,-0.0,-0.0,3.2253315902043584e-06
0.0,-0.0,0.0,3.2253315902043584e-06
0.0,-0.0,0.0,3.2253315902043584e-06
0.0,-0.0,0.0,3.2253315902043584e-06
0.0,-0.0,0.0,3.2253315902043584e-06
0.0,0.0,0.0,1.6126657951021794e-06
0.0,0.0,0.0,1.6126657951021794e-06
0.0,0.0,0.0,1.6126657951021794e-06
0.0,0.0,0.0,1.6126657951021794e-06
-0.0,0.0,-0.0,1.6126657951021794e-06
-0.0,0.0,-0.0,1.6126657951021794e-06
-0.0,0.0,-0.0,1.6126657951021794e-06
-0.0,-0.0,-0.0,1.6126657951021794e-06
-0.0,-0.0,-0.0,1.6126657951021794e-06
-0.0,-0.0,-0.0,1.6126657951021794e-06
0.0,-0.0,0.0,1.6126657951021794e-06
0.0,-0.0,0.0,1.6126657951021794e-06
0.0,0.0,0.0,1.6126657951021784e-06
0.0,0.0,0.0,1.6126657951021784e-06
0.0,0.0,0.0,1.6126657951021784e-06
0.0,0.0,0.0,1.6126657951021784e-06
-0.0,0.0,-0.0,1.6126657951021784e-06
-0.0,0.0,-0.0,1.6126657951021784e-06
-0.0,0.0,-0.0,1.6126657951021784e-06
-0.0,-0.0,-0.0,1.6126657951021784e-06
-0.0,-0.0,-0.0,1.6126657951021784e-06
-0.0,-0.0,-0.0,1.6126657951021784e-06
0.0,-0.0,0.0,1.6126657951021784e-06
0.0,-0.0,0.0,1.6126657951021784e-06
0.0,0.0,60.0,6.674785275429457e-07
0.0,0.0,51.96152422706632,6.674785275429457e-07
0.0,0.0,30.000000000000007,6.674785275429457e-07
0.0,0.0,3.67394039744206e-15,6.674785275429457e-07
